"Scope 1 Total","city"
"192.912182","Shanghai"
"185.95592","Yunnan"
"794.279375","InnerMongolia"
"88.155437","Beijing"
"203.661561","Jilin"
"315.163355","Sichuan"
"158.466482","Tianjin"
"212.413784","Ningxia"
"408.064341","Anhui"
"937.116922","Shandong"
"566.484251","Shanxi"
"585.810531","Guangdong"
"246.716709","Guangxi"
"455.274574","Xinjiang"
"804.594214","Jiangsu"
"242.308256","Jiangxi"
"914.209118","Hebei"
"460.630819","Henan"
"381.407216","Zhejiang"
"43.067084","Hainan"
"354.752471","Hubei"
"310.641666","Hunan"
"164.488403","Gansu"
"278.109292","Fujian"
"261.129235","Guizhou"
"533.388436","Liaoning"
"156.254673","Chongqing"
"296.27254","Shaanxi"
"51.752403","Qinghai"
"278.211338","Heilongjiang"
